,Activity,From,To,Office,Location,Notes,Duration
0,Refresh,2024-12-29 19:59:01,2024-12-29 19:59:03,d-fine Office,Hamburg,,0 days 00:00:02
1,Sleeping,2024-12-29 19:59:11,2024-12-29 19:59:12,d-fine Office,Hamburg,,0 days 00:00:01
2,Sleeping,2024-12-29 20:04:38,2024-12-29 20:04:42,d-fine Office,Hamburg,,0 days 00:00:04
3,Drinks,2024-12-29 20:06:49,2024-12-29 20:06:50,d-fine Office,Hamburg,,0 days 00:00:01
4,Drinks,2024-12-29 20:08:19,2024-12-30 20:08:19,d-fine Office,Hamburg,hallo,1 days 00:00:00
5,Refresh,2024-12-30 21:08:19,2024-12-29 20:08:19,d-fine Office,Hamburg,hallo,1 days 01:00:00
6,Refresh,2024-12-29 20:08:46,2024-12-29 20:08:47,d-fine Office,Hamburg,,0 days 00:00:01
7,Sleeping,2024-12-30 20:08:48,2024-12-29 20:08:47,d-fine Office,Hamburg,,1 days 00:00:01
8,Working,2024-12-29 20:08:50,2024-12-29 20:08:51,d-fine Office,Hamburg,,0 days 00:00:01
9,Working,2024-12-31 16:51:01,2024-12-30 16:50:53,d-fine Office,Working,,1 days 00:00:08
10,Refresh,2024-12-30 17:13:48,2024-12-30 17:13:51,d-fine Office,Working,,0 days 00:00:03
11,Discussion,2024-12-30 17:13:35,2024-12-30 17:13:52,d-fine Office,Working,,0 days 00:00:17
12,Haspa,2024-12-30 17:14:28,2024-12-30 17:14:29,d-fine Office,Working,,0 days 00:00:01
13,Jan,2025-01-21 22:15:36,2025-01-21 22:15:40,,,,0 days 00:00:04
14,Jan,2025-01-21 22:18:09,2025-01-21 22:17:06,,,,0 days 00:01:03
15,Jan,2025-01-21 22:17:27,2025-01-21 22:17:31,,,,0 days 00:00:04
16,Jan,2025-01-24 19:08:10,2025-01-23 19:07:52,,,,1 days 00:00:18
17,Feb,2025-01-23 19:09:46,2025-01-23 19:09:52,,,,0 days 00:00:06
18,Feb,2025-01-23 19:09:46,2025-01-23 19:10:06,,,,0 days 00:00:20
19,Feb,2025-01-23 19:09:46,2025-01-23 19:10:08,,,,0 days 00:00:22
20,Feb,2025-01-23 19:09:46,2025-01-23 19:10:09,,,,0 days 00:00:23
21,Feb,2025-01-23 19:09:46,2025-01-23 19:10:10,,,,0 days 00:00:24
22,Feb,2025-01-23 19:09:46,2025-01-23 19:10:11,,,,0 days 00:00:25
23,Feb,2025-01-23 19:09:46,2025-01-23 19:10:11,,,,0 days 00:00:25
24,Mar,2025-01-26 12:52:02,2025-01-26 12:52:31,,,,0 days 00:00:29
25,Jan,2025-01-26 12:56:56,2025-01-26 12:56:41,,,,0 days 00:00:15
26,Jan,2025-01-26 12:56:41,2025-01-26 12:57:06,,,,0 days 00:00:25
27,Jan,2025-01-26 12:56:41,2025-01-26 12:57:17,,,,0 days 00:00:36
28,Jan,2025-01-26 12:56:41,2025-01-26 12:57:18,,,,0 days 00:00:37
29,Jan,2025-01-26 12:56:41,2025-01-27 12:57:19,,,,1 days 00:00:38
30,Jan,2025-01-26 15:59:43,2025-01-26 15:59:46,,,,0 days 00:00:03
31,Jan,2025-01-26 16:09:02,2025-01-26 16:09:04,,,,0 days 00:00:02
32,Jan,2025-01-26 16:09:21,2025-01-26 16:09:24,,,,0 days 00:00:03
33,Jan,2025-01-26 16:16:34,2025-01-26 16:16:40,,,,0 days 00:00:06
34,Jan,2025-01-26 16:17:10,2025-01-26 16:17:13,,,,0 days 00:00:03
35,Jan,2025-01-26 16:21:50,2025-01-26 16:21:51,,,,0 days 00:00:01
36,Jan,2025-01-26 16:24:16,2025-01-26 16:24:19,,,,0 days 00:00:03
37,Jan,2025-01-26 16:27:42,2025-01-26 16:27:45,,,,0 days 00:00:03
38,Jan,2025-01-26 16:32:08,2025-01-26 16:32:11,,,,0 days 00:00:03
39,Jan,2025-01-26 16:33:42,2025-01-26 16:33:45,,,,0 days 00:00:03
40,Jan,2025-01-26 16:33:48,2025-01-26 16:33:50,,,,0 days 00:00:02
41,Jan,2025-01-27 16:46:05,2025-01-26 16:45:55,,,,1 days 00:00:10
42,Jan,2025-01-26 16:47:42,2025-01-26 16:47:44,,,,0 days 00:00:02
43,Jan,2025-01-26 16:47:40,2025-01-26 16:47:45,,,,0 days 00:00:05
44,Jan,2025-01-26 17:04:19,2025-01-26 17:04:27,,,,0 days 00:00:08
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,2025-01-26 18:20:31,2025-01-26 18:20:31,,,,0 days 00:00:00
49,Feb,2025-01-26 18:20:31,2025-01-26 19:20:31,,,,-1 days +23:00:00
50,Feb,2025-01-27 20:43:35,2025-01-27 20:43:41,,,,0 days 00:00:06
51,Mar,2025-01-27 20:43:37,2025-01-27 20:43:46,,,,0 days 00:00:09
52,Feb,2025-01-27 20:43:15,2025-01-27 21:43:15,,,,0 days 01:00:00
53,Jan,2025-03-01 11:33:32,2025-03-01 12:33:32,,,,0 days 01:00:00
54,Jan,2025-03-01 11:49:09,2025-03-01 11:49:12,,,,0 days 00:00:03
55,Jan,2025-03-01 11:49:15,2025-03-01 11:49:17,,,,0 days 00:00:02
56,Jan,2025-03-01 11:49:25,2025-03-01 11:49:28,,,,0 days 00:00:03
57,Jan,2025-03-01 11:49:02,2025-04-01 11:49:02,,,,31 days 00:00:00
58,Jan,2025-03-01 11:51:59,2025-03-01 11:52:03,,,,0 days 00:00:04
59,Jan,2025-03-01 11:52:04,2025-03-01 11:52:06,,,,0 days 00:00:02
60,Jan,2025-03-01 11:52:09,2025-03-01 11:52:11,,,,0 days 00:00:02
61,Jan,2025-03-01 12:03:42,2025-03-01 12:03:48,,,,0 days 00:00:06
62,Jan,2025-03-01 12:37:03,2025-03-01 12:37:29,,,,0 days 00:00:26
63,Jan,2025-03-01 12:37:07,2025-03-01 12:37:30,,,,0 days 00:00:23
64,Jan,2025-03-01 12:37:58,2025-03-01 12:38:01,,,,0 days 00:00:03
65,Jan,2025-03-01 12:38:02,2025-03-01 12:38:18,,,,0 days 00:00:16
66,Jan,2025-03-01 12:38:22,2025-03-01 12:38:31,,,,0 days 00:00:09
67,Jan,2025-03-01 12:38:19,2025-03-01 12:38:33,,,,0 days 00:00:14
68,Jan,2025-03-01 12:43:28,2025-03-01 12:43:36,,,,0 days 00:00:08
69,Working,2025-03-01 12:55:12,2025-03-01 12:55:13,,,,0 days 00:00:01
70,Working,2025-03-01 12:55:14,2025-03-01 12:55:15,,,,0 days 00:00:01
71,Working,2025-03-01 18:43:14,2025-03-01 18:43:19,d-fine Office,Hamburg,test string,0 days 00:00:05
72,Working,2025-03-01 18:48:24,2025-03-01 18:48:25,d-fine Office,Hamburg,test string,0 days 00:00:01
73,Working,2025-03-01 19:12:36,2025-03-02 19:12:36,d-fine Office,Hamburg,test string,1 days 00:00:00
74,Working,2025-03-01 23:04:45,2025-03-01 23:34:45,d-fine Office,Hamburg,test string,0 days 00:30:00
75,Working,2025-03-01 23:36:43,2025-03-01 23:36:44,Home office,Sleeping,test string,0 days 00:00:01
76,Working,2025-03-13 20:56:19,2025-03-13 20:56:22,d-fine Office,Hamburg,test string,0 days 00:00:03
77,Working,2025-03-13 20:57:01,2025-03-13 20:57:04,d-fine Office,Hamburg,test string,0 days 00:00:03
78,Working,2025-03-13 20:57:04,2025-03-13 20:57:05,d-fine Office,Hamburg,test string,0 days 00:00:01
79,Intern,2025-03-23 16:49:25.199000,2025-03-23 16:49:25,d-fine Office,Hamburg,test string,-1 days +23:59:59.801000
80,Intern,2025-03-23 16:49:25.199000,2025-03-23 16:49:30,d-fine Office,Hamburg,test string,0 days 00:00:04.801000
81,Working,2025-03-23 16:51:18.499000,2025-03-23 16:51:18,d-fine Office,Hamburg,test string,-1 days +23:59:59.501000
82,Working,2025-03-23 16:55:25.735000,2025-03-23 16:55:25,d-fine Office,Hamburg,test string,-1 days +23:59:59.265000
83,Working,2025-03-23 16:55:25.735000,2025-03-23 16:55:30,d-fine Office,Hamburg,test string,0 days 00:00:04.265000
84,Working,2025-03-23 16:56:16.995000,2025-03-23 16:56:16,d-fine Office,Hamburg,test string,-1 days +23:59:59.005000
85,Working,2025-03-23 16:56:16.995000,2025-03-23 16:56:20,d-fine Office,Hamburg,test string,0 days 00:00:03.005000
86,Working,2025-03-23 16:56:42.808000,2025-03-23 16:56:42,d-fine Office,Hamburg,test string,-1 days +23:59:59.192000
87,Working,2025-03-23 16:56:42.808000,2025-03-23 16:56:46,d-fine Office,Hamburg,test string,0 days 00:00:03.192000
88,Working,2025-03-23 16:57:20.232000,2025-03-23 16:57:20,d-fine Office,Hamburg,test string,-1 days +23:59:59.768000
89,Working,2025-03-23 16:57:50.792000,2025-03-23 16:57:50,d-fine Office,Hamburg,test string,-1 days +23:59:59.208000
90,Working,2025-03-23 16:58:25.276000,2025-03-23 16:58:25,d-fine Office,Hamburg,test string,-1 days +23:59:59.724000
91,Working,2025-03-23 16:58:25.276000,2025-03-23 16:58:28,d-fine Office,Hamburg,test string,0 days 00:00:02.724000
92,Working,2025-03-23 16:58:55.551000,2025-03-23 16:58:55,d-fine Office,Hamburg,test string,-1 days +23:59:59.449000
93,Working,2025-03-23 16:58:55.551000,2025-03-23 16:58:59,d-fine Office,Hamburg,test string,0 days 00:00:03.449000
94,Working,2025-03-23 16:59:32.632000,2025-03-23 16:59:32,d-fine Office,Hamburg,test string,-1 days +23:59:59.368000
95,Working,2025-03-23 17:01:59.408000,2025-03-23 17:01:59,d-fine Office,Hamburg,test string,-1 days +23:59:59.592000
96,Working,2025-03-23 17:01:59.408000,2025-03-23 17:02:02,d-fine Office,Hamburg,test string,0 days 00:00:02.592000
97,Working,2025-03-23 17:02:18.924000,2025-03-23 17:02:18,d-fine Office,Hamburg,test string,-1 days +23:59:59.076000
98,Working,2025-03-23 17:03:12.575000,2025-03-23 17:03:12,d-fine Office,Hamburg,test string,-1 days +23:59:59.425000
99,Working,2025-03-23 17:04:09.776000,2025-03-23 17:04:09,d-fine Office,Hamburg,test string,-1 days +23:59:59.224000
100,Working,2025-03-23 17:04:09.776000,2025-03-23 17:04:26,d-fine Office,Hamburg,test string,0 days 00:00:16.224000
101,Working,2025-03-23 17:23:45.657000,2025-03-23 17:23:45,d-fine Office,Hamburg,test string,-1 days +23:59:59.343000
